CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC 4490,Galaxy in Pair of Galaxies,9.79,187.6437,41.6405,6.76
NGC 4395,Seyfert 2 Galaxy,10.11,186.4535971291199,33.54686115782,11.48
NGC 4450,LINER-type Active Galaxy Nucleus,10.08,187.12329610584,17.08499336445,5.62
M100,Active Galaxy Nucleus,9.35,185.7288749973299,15.8223045161,7.59
M88,Seyfert 2 Galaxy,13.18,187.99646877602,14.42031915884,7.76
M86,Galaxy towards a Group of Galaxies,8.9,186.549225,12.945969,10.47
NGC 4438,LINER-type Active Galaxy Nucleus,10.17,186.9402939556399,13.00880780455,8.91
NGC 4388,Seyfert 2 Galaxy,11.02,186.445083,12.662069,5.5
M84,Seyfert 2 Galaxy,10.49,186.26559721,12.88698314,6.46
M87,Active Galaxy Nucleus,8.63,187.70593076725,12.39112324608,9.12
M49,Seyfert 2 Galaxy,12.17,187.4449,8.0004,10.96
NGC 4631,Galaxy in Pair of Galaxies,9.19,190.533371,32.541511,13.49
NGC 4559,HII Galaxy,10.01,188.99016786249,27.9599609106,10.23
NGC 4565,LINER-type Active Galaxy Nucleus,12.43,189.086683,25.987392,13.8
M91,LINER-type Active Galaxy Nucleus,13.57,188.8601861505499,14.49632231493,5.37
M58,Seyfert 2 Galaxy,9.66,189.4314,11.8183,5.62
M90,Seyfert 2 Galaxy,9.54,189.20750409995,13.1629232814,9.77
M89,LINER-type Active Galaxy Nucleus,9.75,188.91586388929,12.55634190714,6.92
NGC 4636,LINER-type Active Galaxy Nucleus,11.84,190.7076388667,2.68776442473,7.76
NGC 4536,Galaxy in Pair of Galaxies,10.55,188.6128,2.1883,7.41
M104,LINER-type Active Galaxy Nucleus,8.0,189.99763274592,-11.62305449444,8.51
M68,Globular Cluster,7.96,189.86658,-26.74406,12.0
M94,Seyfert Galaxy,8.24,192.72114082143,41.12025024573,11.48
NGC 4725,Seyfert 2 Galaxy,12.44,192.61071515333,25.50075919183,9.77
NGC 4753,Galaxy towards a Group of Galaxies,9.95,193.092133,-1.199689,6.03
M64,Seyfert Galaxy,8.52,194.182067,21.682658,9.77
NGC 4939,Seyfert 2 Galaxy,13.8,196.05970021872,-10.33952790409,5.01
M63,LINER-type Active Galaxy Nucleus,8.59,198.9553091224699,42.02936891003,13.18
NGC 5005,Galaxy in Pair of Galaxies,13.67,197.734633,37.058942,5.5
NGC 5033,Seyfert 2 Galaxy,12.03,198.364729,36.59365,9.55
M53,Globular Cluster,7.79,198.23021,18.16817,12.6
NGC 5170,Galaxy in Pair of Galaxies,10.79,202.45319366858,-17.96649188798,8.13
NGC 5068,Active Galaxy Nucleus Candidate,10.01,199.728363,-21.0391,7.24
