CandidateName,OType,Magnitude,RA,Dec,MajorAxis
IC 302,Galaxy,13.0,48.21361724839,4.70705923096,1.087
NGC 1300,Galaxy in Pair of Galaxies,10.42,49.92102592497,-19.41116321262,6.17
NGC 1297,Galaxy in Pair of Galaxies,13.98,49.80928897513,-19.10009904459,1.127
UGC 2716,Low Surface Brightness Galaxy,14.11,51.030238,17.753038,2.0
NGC 1320,Seyfert 2 Galaxy,14.0,51.20286952403,-3.04225598151,1.297
NGC 1358,Seyfert 2 Galaxy,13.05,53.41533650703,-5.08950386547,1.41
NGC 1325,Galaxy in Pair of Galaxies,11.55,51.10657078985,-21.54406284499,4.47
ESO 548-10,Galaxy in Pair of Galaxies,12.83,51.2021,-21.3361,1.86
NGC 1353,Emission-line galaxy,11.35,53.0126,-20.819161,3.8
NGC 1360,Planetary Nebula,11.16,53.31102855331,-25.87166045775,6.4
NGC 1410,Seyfert 2 Galaxy,15.22,55.2946,-1.2986,1.2
NGC 1393,Galaxy towards a Group of Galaxies,12.02,54.66073529516,-18.42798960994,1.16
NGC 1400,Emission-line galaxy,10.96,54.878546,-18.688125,1.637
NGC 1394,Galaxy towards a Group of Galaxies,12.81,54.77884837231,-18.29234623611,1.027
ESO 548-81,Seyfert 1 Galaxy,13.68,55.51547321407,-21.24432703054,1.917
NGC 1426,Galaxy towards a Group of Galaxies,11.44,55.70458212145,-22.10838155973,1.383
NGC 1385,Emission-line galaxy,10.94,54.368012,-24.501278,1.647
NGC 1412,Galaxy in Pair of Galaxies,13.13,55.12244055583,-26.86222195267,1.137
NGC 1482,Galaxy in Pair of Galaxies,12.15,58.6622,-20.50245,2.34
[OKM2018] SWIFT J0402.9+0197,Seyfert 2 Galaxy,13.33,60.701062,1.965731,2.51
NGC 1507,HII Galaxy,12.36,61.114,-2.18614,3.47
NGC 1518,Emission-line galaxy,11.84,61.707117,-21.172617,1.52
NGC 1514,Planetary Nebula,9.48,62.32077328068,30.77596414103,1.673
UGC 2988,Galaxy,13.95,63.41168212744,25.48284936688,1.71
UGC 3059,Galaxy,14.07,67.426925,3.682053,1.043
NGC 1667,Seyfert 2 Galaxy,12.86,72.1549185747,-6.31995122992,1.057
NGC 1640,Galaxy,11.72,70.56044112078,-20.43477517041,1.32
ESO 421-19,Galaxy,12.54,72.3004,-29.2075,2.63
APMBGC 421-109-124,Galaxy in Pair of Galaxies,15.14,71.787921,-27.670128,1.5
ESO 485-21,Galaxy,12.76,73.2208,-25.2467,2.82
NGC 1744,Low Surface Brightness Galaxy,11.41,74.99057651795,-26.02217795549,6.03
NGC 1964,Galaxy towards a Group of Galaxies,10.81,83.34078285504,-21.94558422233,5.5
NGC 2110,Seyfert 2 Galaxy,13.51,88.04740361199,-7.45625207372,1.423
NGC 2179,Galaxy towards a Group of Galaxies,12.45,92.00930284321,-21.74674082841,1.07
NGC 2139,Emission-line galaxy,11.71,90.283179,-23.672319,1.067
ESO 425-2,Galaxy,13.92,90.1446,-28.9928,2.0
NGC 2217,LINER-type Active Galaxy Nucleus,11.93,95.41562709848,-27.23379304821,4.9
NGC 2272,Galaxy towards a Group of Galaxies,11.88,100.67200343737,-27.45949208721,1.207
PN K 2-2,Planetary Nebula,14.263,103.09652284929,9.96549226706,6.9
NGC 2342,HII Galaxy,12.15,107.325371,20.635894,1.073
ESO 428-14,Seyfert 2 Galaxy,13.52,109.13002590105,-29.32468967399,1.28
NGC 2377,Active Galaxy Nucleus,14.77,111.236733,-9.659353,1.17
HD 62001,Star,8.21,115.30792878689,-18.99372565914,4.133
UGC 4005,Galaxy in Pair of Galaxies,13.96,116.295683,7.9333,1.197
NGC 2535,Radio Galaxy,12.6,122.806183,25.206936,1.13
NGC 2563,Galaxy towards a Group of Galaxies,12.39,125.14869590069,21.06780861667,1.233
NGC 2578,Active Galaxy Nucleus,13.04,125.35117214034,-13.31783528699,1.117
NGC 2613,Emission-line galaxy,10.42,128.345171,-22.973669,7.59
ESO 495-21,Blue Compact Galaxy,11.45,129.063292,-26.40935,1.017
NGC 2619,Seyfert 2 Galaxy,12.72,129.38622938474,28.70520352547,1.207
NGC 2648,Galaxy in Pair of Galaxies,11.82,130.66583716896,14.28561669641,1.723
NGC 2718,Active Galaxy Nucleus,14.24,134.710285,6.292994,1.243
NGC 1079,Galaxy towards a Group of Galaxies,11.37,40.93473101442,-29.00326357963,1.75
NGC  613,Active Galaxy Nucleus,12.71,23.575979,-29.418489,5.5
NGC 7214,Seyfert 1 Galaxy,14.1,332.28192983534,-27.80948915577,1.113
IC 5358,Brightest Galaxy in a Cluster (BCG),14.72,356.9379527119199,-28.14073624177,1.103
NGC 7314,Seyfert 1 Galaxy,13.11,338.94249389828,-26.05043472041,4.37
APMBGC 472+029+103,Galaxy in Pair of Galaxies,15.1,0.05517,-26.73086,1.3
NGC  150,Emission-line galaxy,11.13,8.56446982108,-27.80356232326,1.99
IC 1558,Galaxy,12.22,8.9463,-25.3744,3.02
ESO 411-27,Galaxy,15.88,13.215,-27.3256,1.26
ESO 545-16,Galaxy,13.67,36.4992,-21.4208,1.62
NGC  908,Galaxy in Pair of Galaxies,10.18,35.769038,-21.23385,6.17
NGC 7184,Galaxy,11.2,330.66595283018,-20.81270005756,6.31
ESO 602-3,Galaxy towards a Group of Galaxies,14.31,334.2137,-21.25,2.238
NGC 7349,Galaxy,14.51,340.3087,-21.7969,1.15
NGC 7377,LINER-type Active Galaxy Nucleus,12.78,341.94780988448,-22.31215848931,1.737
NGC  24,Galaxy towards a Group of Galaxies,11.58,2.485592,-24.963131,5.75
