CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
NGC  777,Astrophotography,11.45,30.06211071156,31.42940297823,1.39,Seyfert 2 Galaxy,2023-07-15 10:47:04,2023-07-15 18:17:04,
NGC 6482,Astrophotography,11.45,267.95347468662,23.07191368642,1.503,Galaxy towards a Group of Galaxies,2023-07-15 02:42:00,2023-07-15 10:12:00,
NGC 5377,Astrophotography,11.46,209.06946771155,47.23571340252,2.38,Active Galaxy Nucleus,2023-07-14 23:46:00,2023-07-15 06:16:00,
NGC  410,Astrophotography,11.48,17.74542353863,33.15195941057,1.567,Galaxy towards a Group of Galaxies,2023-07-15 09:58:04,2023-07-15 17:28:04,
NGC 5903,Astrophotography,11.48,229.652204,-24.068594,1.617,Galaxy towards a Group of Galaxies,2023-07-15 01:18:00,2023-07-15 07:24:00,
Hen 2-427,Astrophotography,11.5,287.87864548657,16.86061137174,2.007,Wolf-Rayet,2023-07-15 04:01:00,2023-07-15 11:31:00,
NGC  474,Astrophotography,11.51,20.02786271688,3.41551721475,7.94,Galaxy in Pair of Galaxies,2023-07-15 10:07:04,2023-07-15 17:37:04,
NGC 5898,Astrophotography,11.52,229.55653460094,-24.09789690141,1.453,Galaxy towards a Group of Galaxies,2023-07-15 01:18:00,2023-07-15 07:24:00,
PN A66  36,Astrophotography,11.57,205.17227309607,-19.88203467884,6.117,Planetary Nebula,2023-07-14 23:40:00,2023-07-15 06:00:00,
NGC  24,Astrophotography,11.58,2.485592,-24.963131,5.75,Galaxy towards a Group of Galaxies,2023-07-15 10:07:04,2023-07-15 16:13:04,
NGC  151,Astrophotography,11.59,8.51163106359,-9.70527207588,1.517,LINER-type Active Galaxy Nucleus,2023-07-15 10:31:04,2023-07-15 16:51:04,
NGC  337,Astrophotography,11.61,14.958708,-7.577961,2.88,Emission-line galaxy,2023-07-15 10:57:04,2023-07-15 17:17:04,
NGC  890,Astrophotography,11.62,35.50417545711,33.26604745081,1.853,Galaxy towards a Group of Galaxies,2023-07-15 11:09:04,2023-07-15 18:39:04,
NGC  266,Astrophotography,11.63,12.44922907833,32.27771838748,1.553,LINER-type Active Galaxy Nucleus,2023-07-15 09:37:04,2023-07-15 17:07:04,
NGC  514,Astrophotography,11.65,21.01623561956,12.91745841849,1.257,HII Galaxy,2023-07-15 10:11:04,2023-07-15 17:41:04,
NGC 6207,Astrophotography,11.651,250.765625,36.832425,1.59,Galaxy towards a Cluster of Galaxies,2023-07-15 01:33:00,2023-07-15 09:03:00,
NGC  718,Astrophotography,11.67,28.30535093551,4.19578976786,1.247,Galaxy towards a Cluster of Galaxies,2023-07-15 10:40:04,2023-07-15 18:10:04,
NGC 5806,Astrophotography,11.7,225.00170334114,1.89132766522,1.76,Active Galaxy Nucleus,2023-07-14 23:50:00,2023-07-15 07:20:00,
NGC  404,Astrophotography,11.73,17.3629,35.7181,6.0,LINER-type Active Galaxy Nucleus,2023-07-15 09:56:04,2023-07-15 17:26:04,
NGC 1156,Astrophotography,11.74,44.92855368636,25.2412088937,1.617,Radio Galaxy,2023-07-15 11:46:04,2023-07-15 19:16:04,
NGC 1058,Astrophotography,11.75,40.87511035427,37.34132856994,1.483,Seyfert 2 Galaxy,2023-07-15 11:30:04,2023-07-15 19:00:04,
NGC  246,Astrophotography,11.76,11.76392514234,-11.87193642391,3.733,Planetary Nebula,2023-07-15 10:44:04,2023-07-15 17:04:04,
3C 338.0,Astrophotography,11.78,247.15935291929,39.55117598108,1.08,Quasar,2023-07-15 01:18:00,2023-07-15 08:48:00,
NGC  470,Astrophotography,11.78,19.93688594293,3.41000754904,1.657,Galaxy in Pair of Galaxies,2023-07-15 10:06:04,2023-07-15 17:36:04,
Andromeda VII,Astrophotography,11.8,351.6321,50.6758,2.51,Galaxy towards a Group of Galaxies,2023-07-15 09:16:00,2023-07-15 15:46:00,
NGC 6781,Astrophotography,11.8,289.617021,6.538692,1.767,Planetary Nebula,2023-07-15 04:08:00,2023-07-15 11:38:00,
NGC 1060,Astrophotography,11.81,40.812688,32.425011,1.52,Galaxy towards a Group of Galaxies,2023-07-15 11:30:04,2023-07-15 19:00:04,
NGC 5964,Astrophotography,11.82,234.40087641979,5.97398907277,3.8,Emission-line galaxy,2023-07-15 00:27:00,2023-07-15 07:57:00,
NGC 4636,Astrophotography,11.84,190.7076388667,2.68776442473,7.76,LINER-type Active Galaxy Nucleus,2023-07-14 21:33:00,2023-07-15 05:03:00,
NGC 7392,Astrophotography,11.85,342.9531583528,-20.60806400896,1.66,Emission-line galaxy,2023-07-15 08:52:00,2023-07-15 15:12:00,
NGC  467,Astrophotography,11.85,19.79228544487,3.30073128897,1.117,Galaxy towards a Group of Galaxies,2023-07-15 10:06:04,2023-07-15 17:36:04,
NGC 7457,Astrophotography,11.87,345.24969303685,30.14493455522,2.117,Galaxy,2023-07-15 07:51:00,2023-07-15 15:21:00,
NGC 7217,Astrophotography,11.92,331.96832694816,31.35934230377,2.477,LINER-type Active Galaxy Nucleus,2023-07-15 06:58:00,2023-07-15 14:28:00,
NGC 5390,Astrophotography,11.93,208.91641071526,40.46177239072,3.98,LINER-type Active Galaxy Nucleus,2023-07-14 22:45:00,2023-07-15 06:15:00,
NGC 4793,Astrophotography,11.93,193.66922570772,28.93867606585,1.443,Starburst Galaxy,2023-07-14 21:44:00,2023-07-15 05:14:00,
NGC 7817,Astrophotography,11.94,0.995413,20.752339,2.37,HII Galaxy,2023-07-15 08:51:04,2023-07-15 16:21:04,
NGC  949,Astrophotography,11.975,37.70264291913,37.13659859237,1.293,Galaxy towards a Group of Galaxies,2023-07-15 11:18:04,2023-07-15 18:48:04,
IC 1727,Astrophotography,11.98,26.874542,27.33335,6.31,Galaxy in Pair of Galaxies,2023-07-15 10:34:04,2023-07-15 18:04:04,
NGC  676,Astrophotography,12.0,27.23882542106,5.90751931589,4.0,Seyfert 2 Galaxy,2023-07-15 10:36:04,2023-07-15 18:06:04,
NGC 4839,Astrophotography,12.06,194.35148465199,27.49783419087,2.95,Radio Galaxy,2023-07-14 21:47:00,2023-07-15 05:17:00,
NGC  16,Astrophotography,12.06,2.26781659792,27.72940935524,1.29,Galaxy,2023-07-15 08:56:04,2023-07-15 16:26:04,
NGC  784,Astrophotography,12.07,30.32055,28.837258,5.13,Low Surface Brightness Galaxy,2023-07-15 10:48:04,2023-07-15 18:18:04,
NGC 1161,Astrophotography,12.08,45.30904822258,44.89740970008,2.8,Seyfert 1 Galaxy,2023-07-15 11:48:04,2023-07-15 19:18:04,
NGC 5375,Astrophotography,12.08,209.2333633599299,29.16434822564,1.223,LINER-type Active Galaxy Nucleus,2023-07-14 22:47:00,2023-07-15 06:17:00,
NGC 5087,Astrophotography,12.08,200.10402989665,-20.61094222445,1.62,Active Galaxy Nucleus,2023-07-14 23:20:00,2023-07-15 05:40:00,
NGC  217,Astrophotography,12.1,10.39122169968,-10.02140795418,2.177,Galaxy towards a Cluster of Galaxies,2023-07-15 10:38:04,2023-07-15 16:58:04,
NGC 4789,Astrophotography,12.1,193.5791852613,27.06805787466,1.44,Galaxy towards a Group of Galaxies,2023-07-14 21:44:00,2023-07-15 05:14:00,
NGC  383,Astrophotography,12.14,16.85401992285,32.4125368295,1.367,Radio Galaxy,2023-07-15 09:54:04,2023-07-15 17:24:04,
NGC 6962,Astrophotography,12.14,311.82943758714,0.32080892684,1.153,LINER-type Active Galaxy Nucleus,2023-07-15 05:37:00,2023-07-15 13:07:00,
