CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
NGC 7335,Astrophotography,13.35,339.33088034966,34.44785018059,1.443,Galaxy towards a Group of Galaxies,2023-07-15 07:27:00,2023-07-15 14:57:00,
NGC 5135,Astrophotography,13.35,201.433579,-29.833678,2.57,Seyfert 2 Galaxy,2023-07-14 23:25:00,2023-07-15 05:11:00,
NGC 4694,Astrophotography,13.36,192.062879,10.983625,1.49,Active Galaxy Nucleus,2023-07-14 21:38:00,2023-07-15 05:08:00,
MCG+00-38-026,Astrophotography,13.37,226.62167658906,1.59489646292,3.09,Galaxy in Pair of Galaxies,2023-07-14 23:56:00,2023-07-15 07:26:00,
NGC 6240,Astrophotography,13.37,253.2454,2.4009,1.103,Seyfert 2 Galaxy,2023-07-15 01:43:00,2023-07-15 09:13:00,
NGC 5900,Astrophotography,13.39,228.770904,42.209853,1.187,Galaxy in Pair of Galaxies,2023-07-15 00:05:00,2023-07-15 07:35:00,
NGC 5728,Astrophotography,13.4,220.59954937774,-17.25312243994,3.02,Seyfert 2 Galaxy,2023-07-15 00:42:00,2023-07-15 07:02:00,
NGC 7536,Astrophotography,13.43,348.55497620975,13.42648702354,1.053,Galaxy towards a Group of Galaxies,2023-07-15 08:04:00,2023-07-15 15:34:00,
NGC  801,Astrophotography,13.47,30.93663604942,38.25878212474,1.28,Active Galaxy Nucleus,2023-07-15 10:50:04,2023-07-15 18:20:04,
NGC 5495,Astrophotography,13.5,213.09733331433,-27.10808488134,1.017,Seyfert 2 Galaxy,2023-07-15 00:12:00,2023-07-15 06:08:00,
NGC  34,Astrophotography,13.52,2.77755,-12.107869,1.23,Seyfert 2 Galaxy,2023-07-15 10:08:04,2023-07-15 16:28:04,
NGC 7319,Astrophotography,13.53,339.015009,33.975882,1.62,Seyfert 2 Galaxy,2023-07-15 07:26:00,2023-07-15 14:56:00,
UGC  593,Astrophotography,13.56,14.41277915225,43.80080582121,1.427,Galaxy towards a Group of Galaxies,2023-07-15 09:44:04,2023-07-15 17:14:04,
IC 829,Astrophotography,13.563495,193.114239593,-15.51857416136,1.147,Galaxy towards a Group of Galaxies,2023-07-14 22:52:00,2023-07-15 05:12:00,
MCG-01-60-021,Astrophotography,13.57,355.447021,-3.667194,1.203,LINER-type Active Galaxy Nucleus,2023-07-15 09:42:00,2023-07-15 16:02:00,
NGC 1129,Astrophotography,13.6,43.614167,41.579639,1.527,Brightest Galaxy in a Cluster (BCG),2023-07-15 11:41:04,2023-07-15 19:11:04,
Sgr dIG,Astrophotography,13.6,292.4958,-17.6781,2.82,Galaxy,2023-07-15 05:30:00,2023-07-15 11:50:00,
NGC  972,Astrophotography,13.63,38.5556559957,29.31127914371,2.227,Radio Galaxy,2023-07-15 11:21:04,2023-07-15 18:51:04,
NGC 7094,Astrophotography,13.65,324.22070306837,12.78863868726,1.583,Planetary Nebula,2023-07-15 06:27:00,2023-07-15 13:57:00,
NGC 5005,Astrophotography,13.67,197.734633,37.058942,5.5,Galaxy in Pair of Galaxies,2023-07-14 22:01:00,2023-07-15 05:31:00,
NGC 5757,Astrophotography,13.73,221.94329713683,-19.07837758874,1.347,Galaxy in Pair of Galaxies,2023-07-15 00:47:00,2023-07-15 07:07:00,
NGC 6269,Astrophotography,13.73,254.49208805995,27.85441206922,1.037,Galaxy towards a Group of Galaxies,2023-07-15 01:48:00,2023-07-15 09:18:00,
NGC 4939,Astrophotography,13.8,196.05970021872,-10.33952790409,5.01,Seyfert 2 Galaxy,2023-07-14 23:04:00,2023-07-15 05:24:00,
NGC 4738,Astrophotography,13.81,192.78708285521,28.7880202745,1.387,Galaxy towards a Cluster of Galaxies,2023-07-14 21:41:00,2023-07-15 05:11:00,
Mrk 231,Astrophotography,13.84,194.05930882622,56.87367732607,1.1,Seyfert 1 Galaxy,2023-07-14 23:16:00,2023-07-15 05:16:00,
NGC 6926,Astrophotography,13.87,308.2754519094599,-2.02736080816,1.517,Seyfert 2 Galaxy,2023-07-15 06:33:00,2023-07-15 12:53:00,
IC 4553,Astrophotography,13.88,233.73843317,23.50322456,1.29,Seyfert Galaxy,2023-07-15 00:25:00,2023-07-15 07:55:00,
ESO 603-6,Astrophotography,13.92,340.6967,-21.1661,1.348,Galaxy,2023-07-15 08:43:00,2023-07-15 15:03:00,
UGC 8025,Astrophotography,13.93,193.5102869370599,29.60368769127,1.297,LINER-type Active Galaxy Nucleus,2023-07-14 21:44:00,2023-07-15 05:14:00,
UGC 8024,Astrophotography,13.95,193.521867,27.149631,2.24,Galaxy towards a Cluster of Galaxies,2023-07-14 21:44:00,2023-07-15 05:14:00,
Mrk 993,Astrophotography,13.96,21.38106313503,32.13624273792,1.093,Seyfert 2 Galaxy,2023-07-15 10:12:04,2023-07-15 17:42:04,
NGC 5427,Astrophotography,13.96,210.85850335189,-6.03074521951,3.02,Galaxy in Pair of Galaxies,2023-07-15 00:03:00,2023-07-15 06:23:00,
IC 1801,Astrophotography,13.98,37.053137,19.583322,1.2,Galaxy in Pair of Galaxies,2023-07-15 11:15:04,2023-07-15 18:45:04,
SH 2-71,Astrophotography,14.0,285.50118742649,2.15304923096,1.66,Planetary Nebula,2023-07-15 03:52:00,2023-07-15 11:22:00,
PKS 1834+19,Astrophotography,14.0,279.165254,19.729286,1.097,Radio Galaxy,2023-07-15 03:26:00,2023-07-15 10:56:00,
NGC 5477,Astrophotography,14.01,211.388824,54.460515,1.7,Galaxy,2023-07-14 23:55:00,2023-07-15 06:25:00,
UGC 1176,Astrophotography,14.02,25.04329,15.90517,2.285,Galaxy in Pair of Galaxies,2023-07-15 10:27:04,2023-07-15 17:57:04,
NGC 7667,Astrophotography,14.05,351.095162,-0.108378,1.6,HII Galaxy,2023-07-15 09:24:00,2023-07-15 15:44:00,
UGC  685,Astrophotography,14.07,16.84396,16.68419,1.9,Galaxy,2023-07-15 09:54:04,2023-07-15 17:24:04,
UGC 11723,Astrophotography,14.09,320.072904,-1.684339,1.197,Galaxy,2023-07-15 07:20:00,2023-07-15 13:40:00,
NGC 7214,Astrophotography,14.1,332.28192983534,-27.80948915577,1.113,Seyfert 1 Galaxy,2023-07-15 08:09:00,2023-07-15 14:05:00,
NGC  533,Astrophotography,14.11,21.38086457677,1.75923240467,1.603,Galaxy towards a Group of Galaxies,2023-07-15 10:12:04,2023-07-15 17:42:04,
ESO 601-25,Astrophotography,14.13,332.55183,-18.86522,2.04,Galaxy,2023-07-15 08:10:00,2023-07-15 14:30:00,
NGC 5597,Astrophotography,14.18,216.11435,-16.762694,1.023,Galaxy in Pair of Galaxies,2023-07-15 00:24:00,2023-07-15 06:44:00,
UGC  17,Astrophotography,14.19,0.929659,15.217976,2.5,Galaxy,2023-07-15 08:50:04,2023-07-15 16:20:04,
UGC 8651,Astrophotography,14.2,204.97396,40.74036,1.172,Galaxy,2023-07-14 22:30:00,2023-07-15 06:00:00,
NGC 6814,Astrophotography,14.21,295.66910924423,-10.32364131079,2.797,Seyfert 1 Galaxy,2023-07-15 05:42:00,2023-07-15 12:02:00,
NGC 5985,Astrophotography,14.22,234.90439405924,59.33200469074,4.57,Seyfert Galaxy,2023-07-15 01:59:00,2023-07-15 07:59:00,
Mrk 463,Astrophotography,14.22,209.012,18.3718,1.05,Seyfert 2 Galaxy,2023-07-14 22:46:00,2023-07-15 06:16:00,
NGC 7768,Astrophotography,14.23,357.74395217171,27.14734628713,1.103,Brightest Galaxy in a Cluster (BCG),2023-07-15 08:41:00,2023-07-15 16:11:00,
Cas A,Astrophotography,14.3,350.85,58.815,5.0,SuperNova Remnant,2023-07-15 09:43:00,2023-07-15 15:43:00,
ESO 602-3,Astrophotography,14.31,334.2137,-21.25,2.238,Galaxy towards a Group of Galaxies,2023-07-15 08:17:00,2023-07-15 14:37:00,
NGC 4700,Astrophotography,14.32,192.28395,-11.409856,1.43,Active Galaxy Nucleus,2023-07-14 22:49:00,2023-07-15 05:09:00,
NGC 6764,Astrophotography,14.32,287.06834836112,50.93319999419,1.937,LINER-type Active Galaxy Nucleus,2023-07-15 04:58:00,2023-07-15 11:28:00,
[D80] ACO 1656 120,Astrophotography,14.333,195.07540991934,27.95659249219,1.076,Galaxy towards a Cluster of Galaxies,2023-07-14 21:50:00,2023-07-15 05:20:00,
IC 1574,Astrophotography,14.35,10.76592,-22.24689,1.068,Galaxy,2023-07-15 10:40:04,2023-07-15 16:54:04,
UGC  891,Astrophotography,14.36,20.32954,12.41172,1.145,Galaxy,2023-07-15 10:08:04,2023-07-15 17:38:04,
NGC 5506,Astrophotography,14.38,213.31198375419,-3.20765469702,2.95,Active Galaxy Nucleus,2023-07-15 00:13:00,2023-07-15 06:33:00,
Andromeda III,Astrophotography,14.4,8.8446,36.5047,3.89,Galaxy,2023-07-15 09:22:04,2023-07-15 16:52:04,
LEDA  2582,Astrophotography,14.47,10.8246,-9.2186,1.41,Galaxy towards a Cluster of Galaxies,2023-07-15 10:40:04,2023-07-15 17:00:04,
NGC 7349,Astrophotography,14.51,340.3087,-21.7969,1.15,Galaxy,2023-07-15 08:41:00,2023-07-15 15:01:00,
ESO 445-76,Astrophotography,14.66,208.7312,-29.1378,1.07,Galaxy towards a Cluster of Galaxies,2023-07-14 23:55:00,2023-07-15 05:41:00,
ESO 509-64,Astrophotography,14.7,203.6637,-23.6806,1.32,Active Galaxy Nucleus,2023-07-14 23:34:00,2023-07-15 05:48:00,
Mrk 600,Astrophotography,14.7,42.76904,4.45386,1.9,Galaxy,2023-07-15 11:38:04,2023-07-15 19:08:04,
PN A66  43,Astrophotography,14.71,268.38448656592,10.6233918771,1.333,Planetary Nebula,2023-07-15 02:43:00,2023-07-15 10:13:00,
IC 5358,Astrophotography,14.72,356.9379527119199,-28.14073624177,1.103,Brightest Galaxy in a Cluster (BCG),2023-07-15 09:47:00,2023-07-15 15:33:00,
NGC  931,Astrophotography,14.74,37.06028712678,31.31151926759,1.72,Seyfert 1 Galaxy,2023-07-15 11:15:04,2023-07-15 18:45:04,
UGC 9243,Astrophotography,14.74,216.388428,33.848139,1.02,Emission-line galaxy,2023-07-14 23:15:00,2023-07-15 06:45:00,
NGC 4968,Astrophotography,14.79,196.7749,-23.677039,2.24,Seyfert 2 Galaxy,2023-07-14 23:07:00,2023-07-15 05:21:00,
UGC 1841,Astrophotography,14.81,35.79754687188,42.99205148122,3.0,Seyfert 1 Galaxy,2023-07-15 11:10:04,2023-07-15 18:40:04,
Aquarius Dwarf,Astrophotography,14.83,311.7154,-12.8483,1.12,Galaxy,2023-07-15 06:47:00,2023-07-15 13:07:00,
UGC  695,Astrophotography,14.84,16.94340354755,1.06364239147,1.3,Low Surface Brightness Galaxy,2023-07-15 09:54:04,2023-07-15 17:24:04,
NGC  918,Astrophotography,15.01,36.46162471388,18.49621079472,3.23,Active Galaxy Nucleus,2023-07-15 11:13:04,2023-07-15 18:43:04,
APMBGC 472+029+103,Astrophotography,15.1,0.05517,-26.73086,1.3,Galaxy in Pair of Galaxies,2023-07-15 09:57:04,2023-07-15 15:53:04,
LEDA 2807157,Astrophotography,15.2,356.396569,38.71808,1.1,Galaxy towards a Group of Galaxies,2023-07-15 08:35:00,2023-07-15 16:05:00,
IC 3576,Astrophotography,15.4,189.15698,6.620887,2.24,Active Galaxy Nucleus,2023-07-14 21:26:00,2023-07-15 04:56:00,
PN A66  51,Astrophotography,15.42,285.25580079712,-18.20425601534,1.117,Planetary Nebula,2023-07-15 05:01:00,2023-07-15 11:21:00,
NGC 5490,Astrophotography,15.5,212.488875,17.545425,1.107,Radio Galaxy,2023-07-14 23:00:00,2023-07-15 06:30:00,
NGC 5750,Astrophotography,15.58,221.5463675578,-0.22292299809,1.803,Active Galaxy Nucleus,2023-07-15 00:46:00,2023-07-15 07:06:00,
PN A66  39,Astrophotography,15.6,246.8904996763199,27.90929760566,2.9,Planetary Nebula,2023-07-15 01:17:00,2023-07-15 08:47:00,
PN Jn  1,Astrophotography,15.62,353.97217284945,30.46842687367,5.533,Planetary Nebula,2023-07-15 08:26:00,2023-07-15 15:56:00,
PN Pa 5,Astrophotography,15.67,289.87709987547,44.76186250281,2.6,Planetary Nebula,2023-07-15 04:09:00,2023-07-15 11:39:00,
MCG-01-40-001,Astrophotography,15.7,233.33624557898,-8.70049381372,1.137,Seyfert 2 Galaxy,2023-07-15 01:33:00,2023-07-15 07:53:00,
M 57,Astrophotography,15.769,283.39623652463,33.02913424654,1.153,Planetary Nebula,2023-07-15 03:43:00,2023-07-15 11:13:00,
PN A66  65,Astrophotography,15.77,296.64253829593,-23.13693502308,1.8,Planetary Nebula,2023-07-15 05:46:00,2023-07-15 12:00:00,
Lan 21,Astrophotography,15.77,296.24640149185,22.76326489288,4.0,Planetary Nebula,2023-07-15 04:35:00,2023-07-15 12:05:00,
ESO 411-27,Astrophotography,15.88,13.215,-27.3256,1.26,Galaxy,2023-07-15 10:50:04,2023-07-15 16:46:04,
LEDA 2801026,Astrophotography,15.9,243.447932,54.368958,1.1,Low Surface Brightness Galaxy,2023-07-15 02:04:00,2023-07-15 08:34:00,
IC 4316,Astrophotography,15.93,205.0754,-28.8947,1.41,Galaxy,2023-07-14 23:40:00,2023-07-15 05:26:00,
M 16,Astrophotography,6.0,274.688,-13.792,5.05,Open Cluster,2023-07-15 04:18:00,2023-07-15 10:38:00,
M 75,Astrophotography,8.26,301.520171,-21.922261,2.383,Globular Cluster,2023-07-15 06:06:00,2023-07-15 12:26:00,
M 26,Astrophotography,8.87,281.317,-9.386,7.1,Open Cluster,2023-07-15 04:45:00,2023-07-15 11:05:00,
M 72,Astrophotography,8.96,313.36542,-12.53731,5.9,Globular Cluster,2023-07-15 06:53:00,2023-07-15 13:13:00,
IC 127,Astrophotography,9.2,22.448329,-6.980058,1.33,Galaxy towards a Group of Galaxies,2023-07-15 11:27:04,2023-07-15 17:47:04,
NGC 5195,Astrophotography,9.55,202.498292,47.266128,5.89,Galaxy in Pair of Galaxies,2023-07-14 23:20:00,2023-07-15 05:50:00,
M 58,Astrophotography,9.66,189.4314,11.8183,5.62,Seyfert Galaxy,2023-07-14 21:27:00,2023-07-15 04:57:00,
M 102,Astrophotography,9.89,226.623171,55.763308,6.31,Seyfert Galaxy,2023-07-15 00:56:00,2023-07-15 07:26:00,
NGC 4753,Astrophotography,9.95,193.092133,-1.199689,6.03,Galaxy towards a Group of Galaxies,2023-07-14 22:52:00,2023-07-15 05:12:00,
