CandidateID,ObservationID,RMSE_RA,RMSE_Dec,RA,Dec,ApproachColor,AstrometryStatus,ExposureTime,EncoderRA,EncoderDec,SkyBackground,Temperature,Dataset,CaptureStartEpoch,Focus,RAOffset,DecOffset,SystemName,CameraName,ProcessingCode,Submitted
-8415318107769656315,37,0.47,0.52,233.0985,-12.3215,GREEN,0,2.0,232.68275,-12.56779,-1.0,19229.0,P11Gnt6_2_20230620_003454_20230620_003511,1687246512,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-5189763382017157550,38,5.45,6.4,338.961,-24.6086,GREEN,1,1.0,341.69012,-24.92157,20.67,14.663,P21G9k7_2_20230620_041436_20230620_041512,1687259712,49591.3,0.04016,-0.01085,TMO,PMUSBCam00,0,0
5829369461545291883,39,0.94,0.52,239.397,-6.6078,GREEN,0,1.0,239.81674,-6.76784,-1.0,19229.0,C3R8U21_1_20230621_212646_20230621_212713,1687408033,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
8699749693724536533,40,0.75,1.12,255.0,-11.376,GREEN,0,1.0,253.68186,-13.95113,-1.0,19229.0,P11Gvl8_1_20230621_213453_20230621_213536,1687408537,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
4485452725565931693,41,2.07,1.05,238.407,-21.1473,ORANGE,0,1.0,237.95284,-20.72643,-1.0,19229.0,3FK2921_2_20230621_215655_20230621_215717,1687409837,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
5829369461545291883,42,0.94,0.52,239.397,-6.6078,GREEN,0,1.0,239.60782,-6.72467,-1.0,19229.0,C3R8U21_2_20230621_220647_20230621_220730,1687410450,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
8699749693724536533,43,0.75,1.12,255.0,-11.376,GREEN,0,1.0,253.6999,-13.91075,-1.0,19229.0,P11Gvl8_2_20230621_221453_20230621_221536,1687410936,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-211122722624155496,44,67.55,80.63,250.278,-16.4208,GREEN,0,3.0,249.77632,-15.68475,-1.0,19229.0,P21GcUR_1_20230621_223442_20230621_223502,1687412102,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-1576985396186729014,45,35.32,25.74,243.6045,-9.256,RED,0,3.0,243.70703,-8.80959,-1.0,19229.0,P11Gvm4_1_20230622_004056_20230622_004115,1687419675,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-6062202156879771826,46,2.92,7.57,311.5485,-22.4823,ORANGE,0,1.0,308.16007,-24.14424,-1.0,19229.0,3FJ1H21_1_20230622_024244_20230622_024302,1687426982,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4178658983615945035,47,0.93,0.81,325.1715,-29.5331,GREEN,0,1.0,325.37683,-29.47005,-1.0,19229.0,JCMH490_1_20230622_025556_20230622_025639,1687427799,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-6062202156879771826,48,2.92,7.57,311.5485,-22.4823,ORANGE,0,1.0,308.09698,-24.08702,-1.0,19229.0,3FJ1H21_2_20230622_031456_20230622_031520,1687428920,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
