Date,MPC Target,Processed,Submitted,codes,Observability,"approx. transit time (@TMO, LOCAL)",RA,Dec,"RA Vel (""/min)","Dec Vel (""/min)",Vmag,~Error (arcsec),Error Color,Sky Brightness,SNR,Vel_Est,FWHM,Sky Mag,start,end
1216-1217,CA1CCJ2_1,,-1,"-3,",02:30 - 10:00,2023-12-16 6:00:00,3:47:17,18:32:56,3.24,-3.36,21.1,"(15.22, 21.29)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA1CCJ2_2,,-1,"-3,",02:30 - 10:00,2023-12-16 6:00:00,3:47:17,18:32:56,3.24,-3.36,21.1,"(15.22, 21.29)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJmL_1,astrom fail,-1,"-3,",02:20 - 09:40,2023-12-16 5:50:00,3:38:45,15:11:00,-16.2,4.74,19.7,"(5.44, 1.99)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJmL_2,astrom fail,-1,"-3,",02:20 - 09:40,2023-12-16 5:50:00,3:38:45,15:11:00,-16.2,4.74,19.7,"(5.44, 1.99)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,Sar2721_1,astrom fail,-1,"-2,",02:40 - 10:10,2023-12-16 6:10:00,3:56:18,10:41:28,0.66,-6.6,20.7,"(0.65, 0.77)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,Sar2721_2,astrom fail,-1,"-2,",02:40 - 10:10,2023-12-16 6:10:00,3:56:18,10:41:28,0.66,-6.6,20.7,"(0.65, 0.77)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA17RE2_1,,-1,"-8,",00:00 - 05:20,2023-12-17 1:20:00,23:08:42,20:35:52,-2.64,-7.2,21,"(1.8, 4.87)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA17RE2_2,,-1,"-8,",00:00 - 05:20,2023-12-17 1:20:00,23:08:42,20:35:52,-2.64,-7.2,21,"(1.8, 4.87)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PM5j_1,check data,0,0,03:50 - 11:20,2023-12-16 7:20:00,5:06:42,2:00:41,0.72,-2.52,20.9,"(89.38, 71.33)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PM5j_2,check data,0,0,03:50 - 11:20,2023-12-16 7:20:00,5:06:42,2:00:41,0.72,-2.52,20.9,"(89.38, 71.33)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJuE_1,,-1,"-2,",04:10 - 11:40,2023-12-16 7:30:00,5:26:07,10:54:08,4.08,10.8,20.5,"(0.24, 0.54)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJuE_2,,-1,"-2,",04:10 - 11:40,2023-12-16 7:30:00,5:26:07,10:54:08,4.08,10.8,20.5,"(0.24, 0.54)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,TF23L44_1,astrom fail,-1,"-5,",04:10 - 11:40,2023-12-16 7:30:00,5:24:02,14:03:53,10.2,-5.16,20.1,"(0.04, 0.02)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,TF23L44_2,astrom fail,-1,"-5,",04:10 - 11:40,2023-12-16 7:30:00,5:24:02,14:03:53,10.2,-5.16,20.1,"(0.04, 0.02)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21ORkZ_1,astrom fail,-1,"-2,",04:50 - 12:20,2023-12-16 8:20:00,6:08:51,45:30:19,-1.02,0.18,21.5,"(96.93, 67.76)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21ORkZ_2,astrom fail,-1,"-2,",04:50 - 12:20,2023-12-16 8:20:00,6:08:51,45:30:19,-1.02,0.18,21.5,"(96.93, 67.76)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,C42NTW1_1,,-1,"-8,",05:10 - 11:30,2023-12-16 7:20:00,5:13:43,-1:53:22,9.6,3.72,20,"(0.12, 0.06)",RED,,,,,,2023-12-16,2023-12-17
1216-1217,C42NTW1_2,,-1,"-8,",05:10 - 11:30,2023-12-16 7:20:00,5:13:43,-1:53:22,9.6,3.72,20,"(0.12, 0.06)",RED,,,,,,2023-12-16,2023-12-17
1216-1217,CA1QKN2_1,,-1,"-8,",05:30 - 13:00,2023-12-16 9:00:00,6:48:31,25:16:23,0.06,-1.44,21.3,"(0.96, 5.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA1QKN2_2,,-1,"-8,",05:30 - 13:00,2023-12-16 9:00:00,6:48:31,25:16:23,0.06,-1.44,21.3,"(0.96, 5.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P11PJpe_1,,-1,"-2,",05:50 - 12:10,2023-12-16 8:10:00,5:58:23,-5:11:54,-1.62,0.18,21.3,"(36.71, 16.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P11PJpe_2,,-1,"-2,",05:50 - 12:10,2023-12-16 8:10:00,5:58:23,-5:11:54,-1.62,0.18,21.3,"(36.71, 16.43)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvP_1,,-1,"-2,",06:00 - 13:30,2023-12-16 9:30:00,7:20:23,30:01:25,-7.8,-5.76,21,"(62.72, 14.53)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvP_2,,-1,"-2,",06:00 - 13:30,2023-12-16 9:30:00,7:20:23,30:01:25,-7.8,-5.76,21,"(62.72, 14.53)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA2EWT2_1,,-1,"-8,",07:10 - 14:40,2023-12-16 10:40:00,8:28:12,16:39:55,-2.52,-6.6,21.3,"(19.63, 85.55)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA2EWT2_2,,-1,"-8,",07:10 - 14:40,2023-12-16 10:40:00,8:28:12,16:39:55,-2.52,-6.6,21.3,"(19.63, 85.55)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,CA2CQ42_1,,1,"1,",06:30 - 14:10,2023-12-16 10:00:00,7:48:18,18:17:41,8.4,1.2,20.3,"(0.55, 0.17)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,CA2CQ42_2,,1,"1,",06:30 - 14:10,2023-12-16 10:00:00,7:48:18,18:17:41,8.4,1.2,20.3,"(0.55, 0.17)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,3ME2D21_1,,1,"1,",08:00 - 14:20,2023-12-16 10:20:00,8:11:36,-16:10:12,-7.2,-1.5,19.5,"(0.4, 0.38)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,3ME2D21_2,,1,"1,",08:00 - 14:20,2023-12-16 10:20:00,8:11:36,-16:10:12,-7.2,-1.5,19.5,"(0.4, 0.38)",ORANGE,,,,,,2023-12-16,2023-12-17
1216-1217,P21PKST_1,,-1,"-2,",08:00 - 14:10,2023-12-16 10:10:00,8:05:51,-3:43:26,-12,12.6,19.7,"(35.75, 15.65)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PKST_2,,-1,"-2,",08:00 - 14:10,2023-12-16 10:10:00,8:05:51,-3:43:26,-12,12.6,19.7,"(35.75, 15.65)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PKSS_1,,-1,"-3,",08:10 - 14:30,2023-12-16 10:20:00,8:14:03,-3:59:32,-0.6,4.14,21.1,"(55.0, 22.08)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PKSS_2,,-1,"-3,",08:10 - 14:30,2023-12-16 10:20:00,8:14:03,-3:59:32,-0.6,4.14,21.1,"(55.0, 22.08)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21Pypp_1,,-1,"-8,",06:20 - 13:50,2023-12-16 9:40:00,7:33:49,19:52:20,-2.82,-0.3,21.5,"(1.29, 0.37)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21Pypp_2,,-1,"-8,",06:20 - 13:50,2023-12-16 9:40:00,7:33:49,19:52:20,-2.82,-0.3,21.5,"(1.29, 0.37)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvO_1,,-1,"-8,",06:10 - 13:40,2023-12-16 9:40:00,7:28:24,27:44:51,-2.58,-1.86,21.3,"(28.58, 10.54)",GREEN,,,,,,2023-12-16,2023-12-17
1216-1217,P21PJvO_2,,-1,"-8,",06:10 - 13:40,2023-12-16 9:40:00,7:28:24,27:44:51,-2.58,-1.86,21.3,"(28.58, 10.54)",GREEN,,,,,,2023-12-16,2023-12-17
1215-1216,CA0R5E2_1,,1,"1,",00:00 - 07:00,2023-12-15 2:50:00,0:36:42,33:14:43,13.8,1.98,20.6,"(4.8, 1.06)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA0R5E2_2,,1,"1,",00:00 - 07:00,2023-12-15 2:50:00,0:36:42,33:14:43,13.8,1.98,20.6,"(4.8, 1.06)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA0F8Z2_1,,1,"1,",02:10 - 09:40,2023-12-15 5:40:00,3:25:13,31:02:34,1.14,-1.62,21.5,"(0.36, 0.57)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA0F8Z2_2,,1,"1,",02:10 - 09:40,2023-12-15 5:40:00,3:25:13,31:02:34,1.14,-1.62,21.5,"(0.36, 0.57)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,Sar2721_1,,-1,"-8,",02:40 - 10:10,2023-12-15 6:10:00,3:55:17,13:16:16,0.6,-6,20.8,"(1.23, 3.39)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,Sar2721_2,,-1,"-8,",02:40 - 10:10,2023-12-15 6:10:00,3:55:17,13:16:16,0.6,-6,20.8,"(1.23, 3.39)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,CA1HMP2_1,,1,"1,",03:00 - 10:10,2023-12-15 6:30:00,4:16:34,39:26:40,-31.8,54.6,18.4,"(0.15, 0.19)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,CA1HMP2_2,,1,"1,",03:00 - 10:10,2023-12-15 6:30:00,4:16:34,39:26:40,-31.8,54.6,18.4,"(0.15, 0.19)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,CA17P92_1,,1,"1,",00:00 - 04:50,2023-12-16 0:40:00,22:30:06,23:21:14,10.8,-5.82,20.6,"(0.75, 1.14)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,CA17P92_2,,1,"1,",00:00 - 04:50,2023-12-16 0:40:00,22:30:06,23:21:14,10.8,-5.82,20.6,"(0.75, 1.14)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,TF23L44_1,,-1,"-8,",04:00 - 11:30,2023-12-15 7:20:00,5:06:54,16:12:38,11.4,-5.58,20,"(0.21, 0.24)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,TF23L44_2,,-1,"-8,",04:00 - 11:30,2023-12-15 7:20:00,5:06:54,16:12:38,11.4,-5.58,20,"(0.21, 0.24)",ORANGE,,,,,,2023-12-15,2023-12-16
1215-1216,C42NTW1_1,,-1,"-2,",04:50 - 11:20,2023-12-15 7:10:00,4:53:33,-3:49:11,18,6.6,19.4,"(2.35, 0.85)",RED,,,,,,2023-12-15,2023-12-16
1215-1216,C42NTW1_2,,-1,"-2,",04:50 - 11:20,2023-12-15 7:10:00,4:53:33,-3:49:11,18,6.6,19.4,"(2.35, 0.85)",RED,,,,,,2023-12-15,2023-12-16
1215-1216,P21ORkZ_1,,-1,"-2,",05:00 - 12:30,2023-12-15 8:20:00,6:10:29,45:25:54,-1.02,0.18,21.5,"(67.84, 48.76)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,P21ORkZ_2,,-1,"-2,",05:00 - 12:30,2023-12-15 8:20:00,6:10:29,45:25:54,-1.02,0.18,21.5,"(67.84, 48.76)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,n3c1093_1,"astrom fail, cloudy",-1,"-5,",05:30 - 11:10,2023-12-15 7:50:00,5:35:10,-30:23:09,-0.66,-1.62,21.2,"(2.6, 2.43)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,n3c1093_2,"astrom fail, cloudy",-1,"-5,",05:30 - 11:10,2023-12-15 7:50:00,5:35:10,-30:23:09,-0.66,-1.62,21.2,"(2.6, 2.43)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA1QKN2_1,failed in frame re-reg,-1,"-4,",05:40 - 13:10,2023-12-15 9:00:00,6:48:21,25:50:39,0,-1.32,21.4,"(60.96, 23.58)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA1QKN2_2,failed in frame re-reg,-1,"-4,",05:40 - 13:10,2023-12-15 9:00:00,6:48:21,25:50:39,0,-1.32,21.4,"(60.96, 23.58)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,P21Pypp_1,cloudy,-1,"-8,",06:30 - 13:50,2023-12-15 9:50:00,7:38:25,20:00:03,-2.94,-0.3,21.5,"(25.46, 2.14)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,P21Pypp_2,cloudy,-1,"-8,",06:30 - 13:50,2023-12-15 9:50:00,7:38:25,20:00:03,-2.94,-0.3,21.5,"(25.46, 2.14)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA160G2_1,"astrom fail, cloudy",-1,"-5,",07:20 - 14:50,2023-12-15 10:50:00,8:34:18,28:23:11,1.62,-0.42,21.2,"(14.24, 3.84)",GREEN,,,,,,2023-12-15,2023-12-16
1215-1216,CA160G2_2,"astrom fail, cloudy",-1,"-5,",07:20 - 14:50,2023-12-15 10:50:00,8:34:18,28:23:11,1.62,-0.42,21.2,"(14.24, 3.84)",GREEN,,,,,,2023-12-15,2023-12-16
1204-1205,A10YxD2_1,,-1,"-8,",07:30 - 15:00,2023-12-05 10:50:00,7:55:34,23:58:18,22.8,-7.8,20.6,"(29.43, 10.36)",BLACK,,,,,,2023-12-04,2023-12-05
1204-1205,A10YxD2_2,,-1,"-8,",07:30 - 15:00,2023-12-05 10:50:00,7:55:34,23:58:18,22.8,-7.8,20.6,"(29.43, 10.36)",BLACK,,,,,,2023-12-04,2023-12-05
1204-1205,P21OOWE_1,,-1,"-8,",06:00 - 12:50,2023-12-05 8:40:00,5:42:26,6:05:02,12.6,2.82,21.4,"(0.27, 0.06)",ORANGE,,,,,,2023-12-04,2023-12-05
1204-1205,P21OOWE_2,,-1,"-8,",06:00 - 12:50,2023-12-05 8:40:00,5:42:26,6:05:02,12.6,2.82,21.4,"(0.27, 0.06)",ORANGE,,,,,,2023-12-04,2023-12-05
1201-1202,M45F201_1,,-1,"-8,",04:00 - 11:20,2023-12-02 7:20:00,4:12:53,21:37:35,-2.82,-1.74,18.1,"(1.78, 1.63)",ORANGE,,,,,,2023-12-01,2023-12-02
1201-1202,M45F201_2,,-1,"-8,",04:00 - 11:20,2023-12-02 7:20:00,4:12:53,21:37:35,-2.82,-1.74,18.1,"(1.78, 1.63)",ORANGE,,,,,,2023-12-01,2023-12-02
1201-1202,P11OiVE_1,,-1,"-8,",03:00 - 09:00,2023-12-02 4:50:00,1:47:01,-18:12:29,-5.58,-0.84,20.7,"(0.0, 0.0)",GREEN,,,,,,2023-12-01,2023-12-02
1201-1202,P11OiVE_2,,-1,"-8,",03:00 - 09:00,2023-12-02 4:50:00,1:47:01,-18:12:29,-5.58,-0.84,20.7,"(0.0, 0.0)",GREEN,,,,,,2023-12-01,2023-12-02
1026-1027,P11MLQO_1,,1,"1,",05:00 - 11:30,2023-10-26 7:30:00,1:57:44,49:08:57,-1.5,-2.34,20.2,"(0.63, 0.4)",GREEN,,,,,,2023-10-26,2023-10-27
1026-1027,P11MLQO_2,,1,"1,",05:00 - 11:30,2023-10-26 7:30:00,1:57:44,49:08:57,-1.5,-2.34,20.2,"(0.63, 0.4)",GREEN,,,,,,2023-10-26,2023-10-27
1026-1027,C9RKE32_1,,1,"1,",08:00 - 15:30,2023-10-26 11:30:00,5:57:47,30:34:11,2.28,1.02,20.9,"(2.52, 1.42)",GREEN,,,,,,2023-10-26,2023-10-27
1026-1027,C9RKE32_2,,1,"1,",08:00 - 15:30,2023-10-26 11:30:00,5:57:47,30:34:11,2.28,1.02,20.9,"(2.52, 1.42)",GREEN,,,,,,2023-10-26,2023-10-27
1026-1027,P21MtNb_1,low snr,-1,"-8,",09:30 - 17:00,2023-10-26 13:00:00,7:30:10,40:59:23,-2.1,0.36,21.2,"(2.38, 3.19)",GREEN,,,,,,2023-10-26,2023-10-27
1026-1027,P21MtNb_2,low snr,-1,"-8,",09:30 - 17:00,2023-10-26 13:00:00,7:30:10,40:59:23,-2.1,0.36,21.2,"(2.38, 3.19)",GREEN,,,,,,2023-10-26,2023-10-27
1024-1025,C9R4W72_1,,1,"1,",05:30 - 13:00,2023-10-24 9:00:00,3:17:47,29:22:18,1.92,-4.14,21.4,"(3.28, 7.24)",ORANGE,,,,,,2023-10-24,2023-10-25
1024-1025,C9R4W72_2,,1,"1,",05:30 - 13:00,2023-10-24 9:00:00,3:17:47,29:22:18,1.92,-4.14,21.4,"(3.28, 7.24)",ORANGE,,,,,,2023-10-24,2023-10-25
1024-1025,P11MKAf_1,,1,"1,",04:10 - 11:40,2023-10-24 7:40:00,2:01:35,10:47:56,-1.62,-0.18,21.3,"(16.96, 2.28)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,P11MKAf_2,,1,"1,",04:10 - 11:40,2023-10-24 7:40:00,2:01:35,10:47:56,-1.62,-0.18,21.3,"(16.96, 2.28)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9R3T72_1,,1,"2,",03:30 - 11:00,2023-10-24 6:50:00,1:14:43,32:36:09,-1.02,-1.08,21.2,"(41.54, 45.11)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9R3T72_2,,-1,"-2,",03:30 - 11:00,2023-10-24 6:50:00,1:14:43,32:36:09,-1.02,-1.08,21.2,"(41.54, 45.11)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9RA6J2_1,,-1,"-8,",03:10 - 10:50,2023-10-24 6:40:00,1:01:56,19:51:18,1.98,-6.6,21.3,"(1.35, 4.36)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9RA6J2_2,,-1,"-8,",03:10 - 10:50,2023-10-24 6:40:00,1:01:56,19:51:18,1.98,-6.6,21.3,"(1.35, 4.36)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9RKE32_1,,-1,"-8,",08:00 - 15:40,2023-10-24 11:30:00,5:50:47,29:45:37,2.28,1.08,20.8,"(98.01, 50.18)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9RKE32_2,,-1,"-8,",08:00 - 15:40,2023-10-24 11:30:00,5:50:47,29:45:37,2.28,1.08,20.8,"(98.01, 50.18)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,P21MtNb_1,,1,"1,",09:50 - 17:20,2023-10-24 13:20:00,7:36:47,40:41:17,-2.04,0.36,21.2,"(11.59, 5.93)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,P21MtNb_2,,1,"1,",09:50 - 17:20,2023-10-24 13:20:00,7:36:47,40:41:17,-2.04,0.36,21.2,"(11.59, 5.93)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9R77L2_1,,-1,"-8,",09:40 - 17:10,2023-10-24 13:00:00,7:25:57,20:32:25,5.82,-8.4,20.7,"(13.16, 20.88)",GREEN,,,,,,2023-10-24,2023-10-25
1024-1025,C9R77L2_2,,-1,"-8,",09:40 - 17:10,2023-10-24 13:00:00,7:25:57,20:32:25,5.82,-8.4,20.7,"(13.16, 20.88)",GREEN,,,,,,2023-10-24,2023-10-25
1020-1021,ST23J73_1,,-1,"-2,",03:40 - 11:20,2023-10-20 7:00:00,1:08:16,39:56:12,21,-15.6,20.2,"(2193.13, 2237.41)",RED,,,,,,2023-10-20,2023-10-21
1020-1021,ST23J73_2,,-1,"-2,",03:40 - 11:20,2023-10-20 7:00:00,1:08:16,39:56:12,21,-15.6,20.2,"(2193.13, 2237.41)",RED,,,,,,2023-10-20,2023-10-21
1020-1021,ST23J72_1,,1,"1,",02:00 - 09:30,2023-10-21 5:10:00,23:19:44,36:50:38,21.6,-27.6,19,"(2.55, 1.01)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,ST23J72_2,,1,"1,",02:00 - 09:30,2023-10-21 5:10:00,23:19:44,36:50:38,21.6,-27.6,19,"(2.55, 1.01)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C0LPM15_1,,1,"1,",04:30 - 12:00,2023-10-20 8:00:00,2:05:34,24:34:33,-3.36,-5.34,20.7,"(1.5, 2.3)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C0LPM15_2,,1,"1,",04:30 - 12:00,2023-10-20 8:00:00,2:05:34,24:34:33,-3.36,-5.34,20.7,"(1.5, 2.3)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C3Y0C51_1,,1,"1,",04:50 - 11:20,2023-10-20 7:10:00,1:11:16,-11:17:46,27,-15.6,19.2,"(1.22, 0.66)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C3Y0C51_2,,1,"1,",04:50 - 11:20,2023-10-20 7:10:00,1:11:16,-11:17:46,27,-15.6,19.2,"(1.22, 0.66)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,ST23J70_1,,1,"1,",05:20 - 12:40,2023-10-20 8:50:00,2:57:22,39:35:30,-25.2,10.8,19.4,"(1.52, 0.83)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,ST23J70_2,,1,"1,",05:20 - 12:40,2023-10-20 8:50:00,2:57:22,39:35:30,-25.2,10.8,19.4,"(1.52, 0.83)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZJ42_1,,1,"1,",05:10 - 12:40,2023-10-20 8:40:00,2:44:43,45:29:18,1.86,-1.32,21.1,"(48.06, 24.57)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZJ42_2,,1,"1,",05:10 - 12:40,2023-10-20 8:40:00,2:44:43,45:29:18,1.86,-1.32,21.1,"(48.06, 24.57)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QYCZ2_1,,1,"1,",06:50 - 12:50,2023-10-20 8:50:00,2:53:44,56:14:12,-2.4,-0.9,21.3,"(1.77, 1.22)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QYCZ2_2,,1,"1,",06:50 - 12:50,2023-10-20 8:50:00,2:53:44,56:14:12,-2.4,-0.9,21.3,"(1.77, 1.22)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C3Y32K1_1,check data,0,0,07:20 - 13:50,2023-10-20 9:30:00,3:33:43,-4:43:09,23.4,-14.4,19.1,"(35.36, 21.98)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C3Y32K1_2,check data,0,0,07:20 - 13:50,2023-10-20 9:30:00,3:33:43,-4:43:09,23.4,-14.4,19.1,"(35.36, 21.98)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,P21Mp3v_1,,-1,"-8,",07:40 - 12:50,2023-10-20 9:50:00,3:57:10,-34:28:12,-1.2,1.02,21.4,"(2.56, 2.88)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,P21Mp3v_2,,-1,"-8,",07:40 - 12:50,2023-10-20 9:50:00,3:57:10,-34:28:12,-1.2,1.02,21.4,"(2.56, 2.88)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,P21MbnG_1,,1,"1,",08:00 - 14:20,2023-10-20 10:20:00,4:20:52,-18:04:04,-3.12,2.28,21.4,"(1.08, 0.84)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,P21MbnG_2,,1,"1,",08:00 - 14:20,2023-10-20 10:20:00,4:20:52,-18:04:04,-3.12,2.28,21.4,"(1.08, 0.84)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZQY2_1,,-1,"-8,",09:00 - 15:30,2023-10-20 11:20:00,5:27:49,46:44:57,0.54,-1.02,21.2,"(9.71, 9.59)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZQY2_2,,-1,"-8,",09:00 - 15:30,2023-10-20 11:20:00,5:27:49,46:44:57,0.54,-1.02,21.2,"(9.71, 9.59)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,P21Mi1d_1,check data,0,0,09:10 - 15:30,2023-10-20 11:20:00,5:30:44,-3:44:08,-2.82,1.32,21.1,"(14.35, 7.52)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,P21Mi1d_2,check data,0,0,09:10 - 15:30,2023-10-20 11:20:00,5:30:44,-3:44:08,-2.82,1.32,21.1,"(14.35, 7.52)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9QYKL2_1,,1,"1,",09:50 - 17:40,2023-10-20 13:10:00,7:12:54,44:34:05,27,-9,20.3,"(8.69, 3.82)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C9QYKL2_2,,1,"1,",09:50 - 17:40,2023-10-20 13:10:00,7:12:54,44:34:05,27,-9,20.3,"(8.69, 3.82)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,P21MtNb_1,,-1,"-8,",10:20 - 17:50,2023-10-20 13:40:00,7:49:00,40:02:15,-1.86,0.42,21.2,"(38.06, 16.8)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,P21MtNb_2,,-1,"-8,",10:20 - 17:50,2023-10-20 13:40:00,7:49:00,40:02:15,-1.86,0.42,21.2,"(38.06, 16.8)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZZH2_1,,-1,"-2,",10:50 - 18:30,2023-10-20 14:00:00,8:04:37,34:06:11,37.8,-33,20.4,"(30.66, 27.8)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C9QZZH2_2,,-1,"-2,",10:50 - 18:30,2023-10-20 14:00:00,8:04:37,34:06:11,37.8,-33,20.4,"(30.66, 27.8)",ORANGE,,,,,,2023-10-20,2023-10-21
1020-1021,C9R0402_1,,1,"1,",11:20 - 17:50,2023-10-20 13:40:00,7:49:30,49:21:01,5.82,0.66,21.5,"(34.73, 13.67)",GREEN,,,,,,2023-10-20,2023-10-21
1020-1021,C9R0402_2,,1,"1,",11:20 - 17:50,2023-10-20 13:40:00,7:49:30,49:21:01,5.82,0.66,21.5,"(34.73, 13.67)",GREEN,,,,,,2023-10-20,2023-10-21
1019-1020,ST23J32_1,,1,"1,",03:30 - 11:10,2023-10-19 7:00:00,1:00:34,39:47:19,5.1,17.4,20.2,"(1.37, 0.99)",ORANGE,,,,,,2023-10-19,2023-10-20
1019-1020,ST23J32_2,,1,"1,",03:30 - 11:10,2023-10-19 7:00:00,1:00:34,39:47:19,5.1,17.4,20.2,"(1.37, 0.99)",ORANGE,,,,,,2023-10-19,2023-10-20
1019-1020,ST23J56_1,object not in fov,-1,"-2,",02:00 - 07:00,2023-10-20 3:20:00,21:21:42,21:29:27,-97.2,-18.6,20.4,"(52706.59, 13175.2)",RED,,,,,,2023-10-19,2023-10-20
1019-1020,ST23J56_2,object not in fov,-1,"-2,",02:00 - 07:00,2023-10-20 3:20:00,21:21:42,21:29:27,-97.2,-18.6,20.4,"(52706.59, 13175.2)",RED,,,,,,2023-10-19,2023-10-20
1019-1020,P21Mfe0_1,,1,"1,",03:10 - 10:50,2023-10-19 6:40:00,0:42:31,28:06:34,1.14,-6.6,20.9,"(0.89, 3.21)",ORANGE,,,,,,2023-10-19,2023-10-20
