CandidateName,CandidateType,Author,DateAdded,DateLastEdited,Priority,Updated,StartObservability,EndObservability,TransitTime,RejectedReason,RemovedReason,RemovedDt,RA,Dec,dRA,dDec,Magnitude,RMSE_RA,RMSE_Dec,ApproachColor,ExposureTime,NumExposures,Scheduled,Observed,Processed,Submitted,ID,Filter,Guide
P11M2mY,MPC NEO,MPCLogger,2023-10-16 22:13:24,2023-10-24 18:16:14,2,2023-10-19 11:16:48,2023-10-20 07:10:00,2023-10-20 14:40:00,2023-10-19 10:30:00,vMag,MPCLogger: Target removed from MPC list,2023-10-24 18:16:14,4.6117,22.8349,0.48,1.32,22.3,0.4,0.25,GREEN,-1.0,-1.0,0,0,0,0,-6416831080511181734,CLEAR,1
C9JMMN2,MPC NEO,MPCLogger,2023-09-20 21:47:14,2023-09-21 02:16:14,2,2023-09-20 10:04:48,2023-09-21 06:00:00,2023-09-21 12:20:00,2023-09-20 08:20:00,vMag,MPCLogger: Target removed from MPC list,2023-09-21 02:16:14,0.3828,-1.1242,-0.48,0.42,21.6,78.0,8.6,GREEN,-1.0,-1.0,0,0,0,0,-6414285183896353790,CLEAR,1
3FK1K21,MPC NEO,MPCLogger,2023-06-22 02:25:30,2023-07-18 22:44:19,2,2023-06-22 16:19:12,2023-06-24 10:20:00,2023-06-24 10:00:00,2023-06-24 12:30:00,RMSE,MPCLogger: Target removed from MPC list,2023-07-18 22:44:19,22.7361,-24.7346,14.4,0.84,20.5,5298.69,410.46,GREEN,600.0,1.0,0,0,0,0,-6396930753304054692,CLEAR,1
C9DT5K2,MPC NEO,MPCLogger,2023-07-09 03:16:10,2023-07-20 18:25:59,2,2023-07-09 17:16:48,2023-07-11 00:00:00,2023-07-11 07:30:00,2023-07-11 03:30:00,vMag,MPCLogger: Target removed from MPC list,2023-07-20 18:25:59,14.8764,31.4851,0.66,-0.72,22.1,604.31,821.51,GREEN,-1.0,-1.0,0,0,0,0,-6389969748697373309,CLEAR,1
P11LQMV,MPC NEO,MPCLogger,2023-10-16 22:13:24,2023-11-08 02:46:47,2,2023-10-30 17:02:24,2023-11-01 06:00:00,2023-11-01 12:00:00,2023-11-01 08:00:00,dRA/dDec,MPCLogger: Target removed from MPC list,2023-11-08 02:46:47,2.8045,6.1486,-0.24,-0.06,21.4,269237.89,23800.81,RED,600.0,3.0,0,0,0,0,-6387885141813895317,CLEAR,1
P11MLeq,MPC NEO,MPCLogger,2023-10-24 18:16:17,2023-11-01 01:33:37,2,2023-10-25 16:04:48,2023-10-25 06:50:00,2023-10-25 12:50:00,2023-10-25 09:00:00,vMag,MPCLogger: Target removed from MPC list,2023-11-01 01:33:37,3.4713,-25.598,-0.78,-0.06,21.7,31.93,22.73,GREEN,-1.0,-1.0,0,0,0,0,-6371596489719283560,CLEAR,1
3GJ2D21,MPC NEO,MPCLogger,2023-07-20 16:44:13,2023-07-21 23:56:41,2,2023-07-20 08:52:48,2023-07-21 07:10:00,2023-07-21 13:30:00,2023-07-21 09:20:00,RMSE,MPCLogger: Target removed from MPC list,2023-07-21 23:56:41,21.4373,-18.9736,10.2,2.22,19.7,456.88,130.17,ORANGE,600.0,1.0,0,0,0,0,-6370923010181482928,CLEAR,1
3FD1C21,MPC NEO,MPCLogger,2023-06-17 01:27:39,2023-07-18 22:45:32,2,2023-06-17 03:36:00,,,,RMSE,MPCLogger: Target removed from MPC list,2023-07-18 22:45:32,19.2739,-38.298,-0.84,0.6,19.2,15252.300940106745,17737.046004200143,GREEN,,,0,0,0,0,-6354258945768907251,CLEAR,1
P21GF6O,MPC NEO,MPCLogger,2023-06-27 18:39:58,2023-06-29 03:25:46,2,2023-06-27 22:04:48,2023-06-28 05:50:00,2023-06-28 11:50:00,2023-06-28 07:50:00,,MPCLogger: Target removed from MPC list,2023-06-29 03:25:46,18.3183,58.2524,-8.4,13.8,20.6,1.56,4.03,GREEN,600.0,2.0,0,0,0,0,-6349997516754039865,CLEAR,1
P21MbnG,MPC NEO,MPCLogger,2023-10-20 04:12:18,2023-10-24 18:16:14,2,2023-10-19 16:48:00,2023-10-20 08:10:00,2023-10-20 14:30:00,2023-10-19 10:20:00,,MPCLogger: Target removed from MPC list,2023-10-24 18:16:14,4.4296,-18.94,-3.24,2.28,21.4,0.51,0.45,GREEN,600.0,3.0,0,0,0,0,-6348339477448094738,,1
