CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,Filter,Processed,Submitted,dRA,dDec,TransitTime
IC 1613,Astrophotography,10.010000228881836,16.2016962,2.1194959,16.2,Galaxy towards a Cluster of Galaxies,"g, r, i",0,0,0,0,2024-06-02 16:10:00
NGC 1055,Astrophotography,10.59000015258789,40.438471,0.443181,6.17,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-02 17:50:00
NGC 474,Astrophotography,11.510000228881836,20.02786271688,3.41551721475,7.94,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-02 16:30:00
NGC 660,Astrophotography,11.15999984741211,25.759792,13.645681,6.31,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-02 16:50:00
M74,Astrophotography,9.460000038146973,24.17393801526,15.78364097564,9.33,Galaxy,"g, r, i",0,0,0,0,2024-06-02 16:40:00
NGC 772,Astrophotography,10.3100004196167,29.83148214541,19.00763213256,6.03,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-02 17:00:00
NGC 672,Astrophotography,11.09000015258789,26.97698532147,27.43278353048,6.17,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-02 16:50:00
IC 1727,Astrophotography,11.979999542236328,26.874542,27.33335,6.31,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-02 16:50:00
NGC 383 Group,Astrophotography,14.100000381469727,16.8654,32.3997,15.833333,Group of Galaxies,"g, r, i",0,0,0,0,2024-06-02 16:10:00
NGC 784,Astrophotography,12.069999694824219,30.32055,28.837258,5.13,Low Surface Brightness Galaxy,"g, r, i",0,0,0,0,2024-06-02 17:10:00
NGC 7331,Astrophotography,9.479999542236328,339.26687751587,34.41577779903,10.47,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 13:40:00
NGC 404,Astrophotography,11.729999542236328,17.36259,35.71813,6.0,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-02 16:10:00
M110,Astrophotography,8.069999694824219,10.09190514583,41.68541867226,18.62,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-02 15:50:00
NGC 925,Astrophotography,10.119999885559082,36.820471,33.578881,10.47,HII Galaxy,"g, r, i",0,0,0,0,2024-06-02 17:30:00
NGC 2784,Astrophotography,10.15999984741211,138.081237,-24.1726,6.17,Emission-line galaxy,"g, r, i",0,0,0,0,2024-06-03 00:20:00
NGC 2905,Astrophotography,9.069999694824219,143.042129,21.500831,11.48,HII Galaxy,"g, r, i",0,0,0,0,2024-06-03 00:40:00
NGC 3109,Astrophotography,10.039999961853027,150.778654,-26.159572,18.2,Active Galaxy Nucleus Candidate,"g, r, i",0,0,0,0,2024-06-03 01:10:00
Z 64-73,Astrophotography,10.0,152.11717,12.3065,11.4667,Galaxy,"g, r, i",0,0,0,0,2024-06-03 01:10:00
Sex A,Astrophotography,11.930000305175781,152.7521,-4.6917,5.9,HII Galaxy,"g, r, i",0,0,0,0,2024-06-03 01:10:00
NGC 3319,Astrophotography,11.069999694824219,159.789721,41.686872,5.25,Seyfert Galaxy,"g, r, i",0,0,0,0,2024-06-03 01:40:00
NGC 3344,Astrophotography,9.859999656677246,160.879792,24.922219,6.76,Emission-line galaxy,"g, r, i",0,0,0,0,2024-06-03 01:50:00
M96,Astrophotography,9.25,161.6906,11.819939,7.24,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 01:50:00
M105,Astrophotography,9.760000228881836,161.956667,12.581631,5.13,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 01:50:00
M95,Astrophotography,9.729999542236328,160.99054728575,11.70369477537,7.08,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 01:50:00
NGC 3486,Astrophotography,10.529999732971191,165.099775,28.974819,6.31,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 02:00:00
Z 126-111,Astrophotography,12.0,168.36721,22.15281,6.1333,Galaxy,"g, r, i",0,0,0,0,2024-06-03 02:20:00
NGC 3521,Astrophotography,9.020000457763672,166.45236707974,-0.03590141015,10.0,Galaxy,"g, r, i",0,0,0,0,2024-06-03 02:10:00
M66,Astrophotography,8.920000076293945,170.0626,12.9915,8.51,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 02:20:00
NGC 3628,Astrophotography,9.479999542236328,170.070908,13.589489,12.88,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 02:20:00
HCG 57,Astrophotography,15.399999618530273,174.4604,21.985,5.5,Compact Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 02:40:00
HCG 58,Astrophotography,13.680000305175781,175.5392,10.275,8.82,Compact Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 02:50:00
NGC 3923,Astrophotography,9.800000190734863,177.757429,-28.806211,6.76,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 02:50:00
NGC 4051,Astrophotography,12.920000076293945,180.7900422238799,44.53130072258,5.25,Seyfert 1 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:10:00
NGC 4151,Astrophotography,11.479999542236328,182.6357332557799,39.40585097987,6.17,Seyfert 1 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:10:00
NGC 4228,Astrophotography,9.930000305175781,183.913225,36.326889,8.32,Starburst Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:20:00
NGC 4274,Astrophotography,10.40999984741211,184.9608044626899,29.61478848299,5.25,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:20:00
NGC 4302,Astrophotography,11.609999656677246,185.426987,14.597761,5.25,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M98,Astrophotography,10.140000343322754,183.45121278624,14.900542632,9.55,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:20:00
M99,Astrophotography,9.869999885559082,184.706771,14.416489,5.13,HII Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:20:00
NGC 4216,Astrophotography,10.010000228881836,183.97685,13.1494,7.94,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:20:00
M61,Astrophotography,9.649999618530273,185.4788677428699,4.47377704644,6.17,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4449,Astrophotography,9.640000343322754,187.046325,44.093558,5.25,Emission-line galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4490,Astrophotography,9.789999961853027,187.6437,41.6405,6.76,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4395,Astrophotography,10.109999656677246,186.4535971291199,33.54686115782,11.48,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4450,Astrophotography,10.079999923706055,187.12329610584,17.08499336445,5.62,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M100,Astrophotography,9.350000381469727,185.7288749973299,15.8223045161,7.59,Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M88,Astrophotography,13.180000305175781,187.99646877602,14.42031915884,7.76,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M86,Astrophotography,8.899999618530273,186.549225,12.945969,10.47,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4438,Astrophotography,10.170000076293945,186.9402939556399,13.00880780455,8.91,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4388,Astrophotography,11.020000457763672,186.445083,12.662069,5.5,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M84,Astrophotography,10.489999771118164,186.26559721,12.88698314,6.46,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M87,Astrophotography,8.630000114440918,187.70593076725,12.39112324608,9.12,Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:30:00
M49,Astrophotography,12.170000076293945,187.4449,8.0004,10.96,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:30:00
NGC 4631,Astrophotography,9.1899995803833,190.533371,32.541511,13.49,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:50:00
NGC 4559,Astrophotography,10.010000228881836,188.99016786249,27.9599609106,10.23,HII Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:40:00
NGC 4565,Astrophotography,12.430000305175781,189.086683,25.987392,13.8,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M91,Astrophotography,13.569999694824219,188.8601861505499,14.49632231493,5.37,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M58,Astrophotography,9.65999984741211,189.4314,11.8183,5.62,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M90,Astrophotography,9.539999961853027,189.20750409995,13.1629232814,9.77,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M89,Astrophotography,9.75,188.91586388929,12.55634190714,6.92,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:40:00
NGC 4636,Astrophotography,11.84000015258789,190.7076388667,2.68776442473,7.76,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:50:00
